Adjectives, Verbs, Nouns
abandoned,roll,balloonfish
able,juggle,ballpython
absolute,battle,bandicoot
academic,hover,bangeltiger
acceptable,hang,bantamrooster
acclaimed,unfasten,banteng
accomplished,bump,barasinga
accurate,replace,barasingha
aching,tow,barb
acidic,bow,barbet
acrobatic,punch,barebirdbat
adorable,fail,barnacle
adventurous,excite,barnowl
babyish,boast,barnswallow
back,possess,barracuda
bad,choke,basenji
baggy,repeat,basil
bare,boil,basilisk
barren,melt,bass
basic,poke,bassethound
beautiful,milk,bat
belated,perform,bats
beloved,matter,beagle
calculating,mate,bear
calm,increase,beardedcollie
candid,soak,beardeddragon
canine,pretend,beauceron
capital,clip,beaver
carefree,contain,bedbug
